words,count_up,count_down,total,polarity_score
북핵/NNG,30.0,22.0,52.0,1.8883755325157652
과열국면/NNG,12.0,12.0,24.0,1.3848087238448945
급매/NNG,11.0,11.0,22.0,1.3848087238448947
만좌/NNG,15.0,7.0,22.0,2.967447265381917
자본력/NNG,17.0,16.0,33.0,1.4713592690852002
총자본비율/NNG,66.0,50.0,116.0,1.827947515475261
상하방/NNG,74.0,74.0,148.0,1.3848087238448945
기업/NNG;실적/NNG;호조/NNG,15.0,10.0,25.0,2.0772130857673416
예금은행/NNG,64.0,57.0,121.0,1.5548729530890044
표결/NNG,56.0,59.0,115.0,1.3143947209375269
중장기채/NNG,16.0,15.0,31.0,1.4771293054345545
사견/NNG,9.0,8.0,17.0,1.5579098143255063
공포/NNG,62.0,53.0,115.0,1.61996492223365
분업/NNG,12.0,8.0,20.0,2.0772130857673416
제안/NNG,746.0,465.0,1211.0,2.2216501247060023
한경/NNG,132.0,121.0,253.0,1.510700426012612
취약국/NNG,18.0,13.0,31.0,1.9174274637852389
ecb/NNG;금리/NNG;인상/NNG,20.0,14.0,34.0,1.9782981769212775
아래쪽/NNG,18.0,12.0,30.0,2.0772130857673416
qfii/NNG,17.0,3.0,20.0,7.847249435121069
주요주주/NNG,13.0,9.0,22.0,2.0002792677759587
현수/NNG,169.0,62.0,231.0,3.774720553706244
표표/NNG,77.0,19.0,96.0,5.612119565055624
기대/NNG;금리/NNG;하락/NNG,14.0,10.0,24.0,1.938732213382852
기평/NNG,483.0,433.0,916.0,1.5447173524643971
낙찰금액/NNG,28.0,24.0,52.0,1.6156101778190437
갇힌/VV,10.0,8.0,18.0,1.731010904806118
해소/NNG,768.0,796.0,1564.0,1.336096859187034
gdp/NNG;개선/NNG,10.0,9.0,19.0,1.5386763598276605
장기추세/NNG,30.0,31.0,61.0,1.3401374746886074
경상/NNG;수지/NNG;개선/NNG,19.0,12.0,31.0,2.1926138127544164
투자금융/NNG,16.0,16.0,32.0,1.3848087238448945
부동자금/NNG,12.0,5.0,17.0,3.3235409372277465
심리/NNG;위축/NNG,26.0,25.0,51.0,1.4402010727986905
짊어지/VV,55.0,1.0,56.0,76.16447981146919
요구수익률/NNG,13.0,9.0,22.0,2.0002792677759587
압승/NNG,15.0,11.0,26.0,1.8883755325157652
행간/NNG,35.0,25.0,60.0,1.938732213382852
다가선/VV,12.0,8.0,20.0,2.0772130857673416
기승/NNG,12.0,9.0,21.0,1.8464116317931925
예상/NNG;낮/VA,22.0,19.0,41.0,1.603462732873036
한국인/NNG,13.0,7.0,20.0,2.571787629997661
반기/NNG,62.0,56.0,118.0,1.53318108711399
하늘/NNG,12.0,10.0,22.0,1.6617704686138732
중대재해/NNG,15.0,8.0,23.0,2.596516357209177
순이익/NNG;감소/NNG,19.0,12.0,31.0,2.1926138127544164
착시/NNG,11.0,10.0,21.0,1.523289596229384
gdp/NNG;갭/NNG;플러스/NNG,19.0,12.0,31.0,2.1926138127544164
우려/NNG;금리/NNG;상승/NNG,9.0,8.0,17.0,1.5579098143255063
자원배분/NNG,9.0,8.0,17.0,1.5579098143255063
시납/NNG,10.0,7.0,17.0,1.9782981769212775
오디세이아/NNG,22.0,6.0,28.0,5.07763198743128
가격결정/NNG,13.0,9.0,22.0,2.0002792677759587
성장/NNG;경로/NNG;불확실성/NNG,10.0,9.0,19.0,1.5386763598276605
바우처/NNG,10.0,10.0,20.0,1.3848087238448945
주유소/NNG,38.0,8.0,46.0,6.577841438263248
플레이션/NNG,33.0,12.0,45.0,3.80822399057346
낙찰률/NNG,17.0,13.0,30.0,1.8109037157971697
금전신탁/NNG,52.0,54.0,106.0,1.333519511850639
단기물/NNG;금리/NNG;상승/NNG,14.0,13.0,27.0,1.4913324718329632
인구비중/NNG,19.0,13.0,32.0,2.023951211773307
보임/NNG,55.0,35.0,90.0,2.176127994613405
대용/NNG,16.0,6.0,22.0,3.692823263586386
버냉키쇼크/NNG,21.0,21.0,42.0,1.3848087238448945
철강/NNG,494.0,526.0,1020.0,1.3005618052839882
중국은행/NNG,94.0,45.0,139.0,2.892711556476001
조원/NNG,3281.0,3390.0,6671.0,1.340282425644572
주택차압/NNG,14.0,8.0,22.0,2.4234152667285653
구성항목/NNG,27.0,24.0,51.0,1.5579098143255063
할지라도/VV,14.0,7.0,21.0,2.769617447689789
차감/NNG,52.0,50.0,102.0,1.4402010727986905
비난/NNG,18.0,18.0,36.0,1.3848087238448945
저축성/NNG,294.0,279.0,573.0,1.459260805772039
당황/NNG,14.0,10.0,24.0,1.938732213382852
신정/NNG,14.0,7.0,21.0,2.769617447689789
불플래트닝/NNG,28.0,19.0,47.0,2.040770750929318
수익창출/NNG,75.0,66.0,141.0,1.573646277096471
최저가/NNG,18.0,13.0,31.0,1.9174274637852389
쓰이/VV,20.0,21.0,41.0,1.318865451280852
재정절벽/NNG,114.0,65.0,179.0,2.4287414541279686
탄핵/NNG,142.0,99.0,241.0,1.9862913008684344
치마/NNG,58.0,21.0,79.0,3.824709808714471
자산/NNG;확대/NNG,9.0,8.0,17.0,1.5579098143255063
소강/NNG,28.0,29.0,57.0,1.3370566988847257
