,words,polarity_score,count_up,count_down,total
0,증감액/NNG,0.659432725640426,20.0,42.0,62.0
1,무역/NNG;흑자/NNG,0.5770036349353728,10.0,24.0,34.0
2,소유자/NNG,0.5641813319368089,11.0,27.0,38.0
3,전무/NNG,0.6647081874455493,24.0,50.0,74.0
4,순차입금/NNG,0.5807262390317299,13.0,31.0,44.0
5,하락/NNG;되돌/VV,0.7331340302708266,9.0,17.0,26.0
6,액티브/NNG,0.532618739940344,140.0,364.0,504.0
7,기타공공기관/NNG,0.3077352719655321,4.0,18.0,22.0
8,공공/NNG,0.7669150675361489,211.0,381.0,592.0
9,전망/NNG;인하/NNG,0.377675106503153,6.0,22.0,28.0
10,전망/NNG;강화/NNG,0.3728331179582408,7.0,26.0,33.0
11,담보부/NNG,0.6770175983241706,22.0,45.0,67.0
12,신율/NNG,0.0242948898920156,1.0,57.0,58.0
13,리시브/NNG,0.6924043619224473,6.0,12.0,18.0
14,은행지주회사/NNG,0.4616029079482982,8.0,24.0,32.0
15,주채권은행/NNG,0.5934894530763833,12.0,28.0,40.0
16,하락시/NNG,0.6105070718025879,41.0,93.0,134.0
17,분양률/NNG,0.7288466967604708,10.0,19.0,29.0
18,자연스레/MAG,0.2215693958151831,4.0,25.0,29.0
19,로보틱스/NNG,0.6129481236690516,27.0,61.0,88.0
20,트래블/NNG,0.63470399842891,22.0,48.0,70.0
21,극도/NNG,0.3956596353842555,14.0,49.0,63.0
22,무조건/MAG,0.7147399865005907,16.0,31.0,47.0
23,가격/NNG;상승/NNG,0.7495753642830163,59.0,109.0,168.0
24,온스/NNG,0.4290956609096856,22.0,71.0,93.0
25,산마/NNG,0.6058538166821413,7.0,16.0,23.0
26,재무상태표/NNG,0.7385646527172772,8.0,15.0,23.0
27,교보/NNG,0.5539234895379577,14.0,35.0,49.0
28,소셜/NNG,0.5418816745480022,9.0,23.0,32.0
29,후속/NNG,0.5091208543547406,25.0,68.0,93.0
30,사채발행/NNG,0.7225088993973363,36.0,69.0,105.0
31,칼럼/NNG,0.6924043619224471,7.0,14.0,21.0
32,채권시장/NNG;금리/NNG;인하/NNG,0.5641813319368089,22.0,54.0,76.0
33,펀더멘털/NNG;악화/NNG,0.6924043619224473,6.0,12.0,18.0
34,하락/NNG;금리/NNG;상승/NNG,0.7553502130063061,6.0,11.0,17.0
35,생겨나/VV,0.7553502130063061,6.0,11.0,17.0
36,잔여/NNG,0.4775202496016877,20.0,58.0,78.0
37,니스/NNG,0.3877464426765704,7.0,25.0,32.0
38,진퇴양난/NNG,0.4616029079482981,6.0,18.0,24.0
39,격인/NNG,0.6462440711276174,7.0,15.0,22.0
40,수자원/NNG,0.6462440711276174,7.0,15.0,22.0
41,긴축정책/NNG,0.7537566471560817,43.0,79.0,122.0
42,심리/NNG;회복/NNG,0.6622998244475583,11.0,23.0,34.0
43,원활히/MAG,0.7640323993627005,16.0,29.0,45.0
44,고통/NNG,0.7033949073497877,32.0,63.0,95.0
45,금리선물/NNG,0.731745518849859,93.0,176.0,269.0
46,시니어/NNG,0.5059878029433268,19.0,52.0,71.0
47,하방/NNG;압력/NNG,0.5101926877323295,14.0,38.0,52.0
48,정작/NNG,0.4616029079482982,5.0,15.0,20.0
49,알리/NNG,0.2051568479770214,4.0,27.0,31.0
50,공장/NNG,0.7523009330230049,157.0,289.0,446.0
51,이더리움/NNG,0.4579682393817761,42.0,127.0,169.0
52,암호화폐/NNG,0.5641813319368089,22.0,54.0,76.0
53,청약/NNG,0.6700687373443037,120.0,248.0,368.0
54,요율/NNG,0.2769617447689789,6.0,30.0,36.0
55,간편/NNG,0.5035668086708707,20.0,55.0,75.0
56,반감기/NNG,0.2130474959761376,16.0,104.0,120.0
57,기축통화/NNG,0.6635541801756787,23.0,48.0,71.0
58,무장/NNG,0.6462440711276174,7.0,15.0,22.0
59,병합/NNG,0.6924043619224471,7.0,14.0,21.0
60,전당/NNG,0.659432725640426,10.0,21.0,31.0
61,시장점유율/NNG,0.5685004234731672,39.0,95.0,134.0
62,특별참가자/NNG,0.0814593366967585,1.0,17.0,18.0
63,들어간/VV,0.6500122581312769,23.0,49.0,72.0
64,감가상각/NNG,0.4072966834837925,5.0,17.0,22.0
65,떠받치/VV,0.4616029079482982,5.0,15.0,20.0
66,상임/NNG,0.6924043619224473,8.0,16.0,24.0
67,관여/NNG,0.2596516357209177,3.0,16.0,19.0
68,지나간/VV,0.6058538166821413,7.0,16.0,23.0
69,물가/NNG;하방/NNG;압력/NNG,0.6924043619224473,12.0,24.0,36.0
70,물건/NNG,0.5715083622217025,26.0,63.0,89.0
71,거절/NNG,0.5539234895379578,10.0,25.0,35.0
72,정말로/MAG,0.7456662359164816,7.0,13.0,20.0
73,인내심/NNG,0.747796710876243,27.0,50.0,77.0
74,금의/NNG,0.2769617447689789,3.0,15.0,18.0
75,양극/NNG,0.6154705439310642,12.0,27.0,39.0
76,물가/NNG;상승률/NNG;낮/VA,0.6924043619224471,10.0,20.0,30.0
77,기술개발/NNG,0.5934894530763833,9.0,21.0,30.0
78,알아보/VV,0.7456662359164816,14.0,26.0,40.0
79,서천/NNG,0.0659432725640426,2.0,42.0,44.0
80,찬성표/NNG,0.532618739940344,5.0,13.0,18.0
81,개발공사/NNG,0.7288466967604708,70.0,133.0,203.0
82,후드/NNG,0.6924043619224473,9.0,18.0,27.0
83,테마/NNG,0.6102546918638518,52.0,118.0,170.0
84,춘계/NNG,0.153867635982766,3.0,27.0,30.0
85,수입/NNG;확대/NNG,0.2967447265381916,3.0,14.0,17.0
86,수수께끼/NNG,0.7253759982044686,11.0,21.0,32.0
87,박스/NNG,0.2596516357209177,6.0,32.0,38.0
88,생태계/NNG,0.498531140584162,18.0,50.0,68.0
89,관련주식/NNG,0.4400326786049197,34.0,107.0,141.0
90,영업자산/NNG,0.7553502130063061,24.0,44.0,68.0
91,면적/NNG,0.3170044066632891,19.0,83.0,102.0
92,장악/NNG,0.6093158384917536,11.0,25.0,36.0
93,센터/NNG,0.6192234131013756,165.0,369.0,534.0
94,희비/NNG,0.3692823263586386,8.0,30.0,38.0
95,다우존스/NNG,0.48808832069943,43.0,122.0,165.0
96,창업/NNG,0.6195196922464002,51.0,114.0,165.0
97,이익/NNG;개선/NNG,0.3956596353842556,4.0,14.0,18.0
98,역동/NNG,0.488756020180551,6.0,17.0,23.0
99,취지/NNG,0.7041400290736751,60.0,118.0,178.0
100,무섭/VA,0.2967447265381916,3.0,14.0,17.0
101,물가/NNG;둔화/NNG,0.6736907305191379,36.0,74.0,110.0
102,국채선물/NNG;강세/NNG,0.5539234895379578,8.0,20.0,28.0
103,부임/NNG,0.3077352719655321,4.0,18.0,22.0
104,세미나/NNG,0.4945745442303194,30.0,84.0,114.0
105,배럴/NNG,0.6849189093611235,183.0,370.0,553.0
106,자금/NNG;유출/NNG;확대/NNG,0.7553502130063061,6.0,11.0,17.0
107,하락/NNG;내리/VV,0.2517834043354354,4.0,22.0,26.0
108,개최/NNG,0.6058538166821413,98.0,224.0,322.0
109,영통/NNG,0.3692823263586386,4.0,15.0,19.0
110,순차/NNG,0.6820699684609182,33.0,67.0,100.0
111,임금/NNG;인상/NNG,0.3178249530135823,14.0,61.0,75.0
112,사외이사/NNG,0.4760279988216825,11.0,32.0,43.0
113,조달자금/NNG,0.3010453747488901,5.0,23.0,28.0
114,조작/NNG,0.6231639257302025,36.0,80.0,116.0
115,경기소비재/NNG,0.7501047254159846,26.0,48.0,74.0
116,사계/NNG,0.0261284664876395,1.0,53.0,54.0
117,석유공사/NNG,0.4913837407191561,11.0,31.0,42.0
118,구조화/NNG,0.5385367259396812,21.0,54.0,75.0
119,공통점/NNG,0.4830728106435679,15.0,43.0,58.0
120,해치/VV,0.7385646527172772,8.0,15.0,23.0
121,대차거래/NNG,0.3550791599602294,10.0,39.0,49.0
122,채권/NNG;금리/NNG;상승/NNG;압력/NNG,0.5252722745618565,11.0,29.0,40.0
123,골목/NNG,0.2637730902561704,4.0,21.0,25.0
124,고공행진/NNG,0.5973684691095624,22.0,51.0,73.0
125,도쿄/NNG,0.4147020777289523,56.0,187.0,243.0
126,글로벌/NNG;금리/NNG;인하/NNG,0.659432725640426,10.0,21.0,31.0
127,다연/NNG,0.5874946101160158,28.0,66.0,94.0
128,개발자/NNG,0.180627224849334,3.0,23.0,26.0
129,각기/MAG,0.6058538166821413,7.0,16.0,23.0
130,한쪽/NNG,0.7288466967604708,10.0,19.0,29.0
131,기대/NNG;크/VV,0.7180489679195748,28.0,54.0,82.0
132,중계/NNG,0.5807262390317299,13.0,31.0,44.0
