,words,polarity_score,count_up,count_down,total
0,북핵/NNG,1.8883755325157652,30.0,22.0,52.0
1,과열국면/NNG,1.3848087238448945,12.0,12.0,24.0
2,급매/NNG,1.3848087238448947,11.0,11.0,22.0
3,만좌/NNG,2.967447265381917,15.0,7.0,22.0
4,자본력/NNG,1.4713592690852002,17.0,16.0,33.0
5,총자본비율/NNG,1.827947515475261,66.0,50.0,116.0
6,상하방/NNG,1.3848087238448945,74.0,74.0,148.0
7,기업/NNG;실적/NNG;호조/NNG,2.0772130857673416,15.0,10.0,25.0
8,예금은행/NNG,1.5548729530890044,64.0,57.0,121.0
9,표결/NNG,1.3143947209375269,56.0,59.0,115.0
10,중장기채/NNG,1.4771293054345545,16.0,15.0,31.0
11,사견/NNG,1.5579098143255063,9.0,8.0,17.0
12,공포/NNG,1.61996492223365,62.0,53.0,115.0
13,분업/NNG,2.0772130857673416,12.0,8.0,20.0
14,제안/NNG,2.2216501247060023,746.0,465.0,1211.0
15,한경/NNG,1.510700426012612,132.0,121.0,253.0
16,취약국/NNG,1.9174274637852389,18.0,13.0,31.0
17,ecb/NNG;금리/NNG;인상/NNG,1.9782981769212775,20.0,14.0,34.0
18,아래쪽/NNG,2.0772130857673416,18.0,12.0,30.0
19,qfii/NNG,7.847249435121069,17.0,3.0,20.0
20,주요주주/NNG,2.0002792677759587,13.0,9.0,22.0
21,현수/NNG,3.774720553706244,169.0,62.0,231.0
22,표표/NNG,5.612119565055624,77.0,19.0,96.0
23,기대/NNG;금리/NNG;하락/NNG,1.938732213382852,14.0,10.0,24.0
24,기평/NNG,1.5447173524643971,483.0,433.0,916.0
25,낙찰금액/NNG,1.6156101778190437,28.0,24.0,52.0
26,갇힌/VV,1.731010904806118,10.0,8.0,18.0
27,해소/NNG,1.336096859187034,768.0,796.0,1564.0
28,gdp/NNG;개선/NNG,1.5386763598276605,10.0,9.0,19.0
29,장기추세/NNG,1.3401374746886074,30.0,31.0,61.0
30,경상/NNG;수지/NNG;개선/NNG,2.1926138127544164,19.0,12.0,31.0
31,투자금융/NNG,1.3848087238448945,16.0,16.0,32.0
32,부동자금/NNG,3.3235409372277465,12.0,5.0,17.0
33,심리/NNG;위축/NNG,1.4402010727986905,26.0,25.0,51.0
34,짊어지/VV,76.16447981146919,55.0,1.0,56.0
35,요구수익률/NNG,2.0002792677759587,13.0,9.0,22.0
